Longitude;Latitude;Elevation;Distance;Gradient;Maxspeed;Surface
130.841366;-12.45519;16.25;0;;50;asphalt
130.841642;-12.455285;16;31.77482926;-0.007867863;50;asphalt
130.843195;-12.456803;20;270.363256;0.016765273;50;asphalt
130.843523;-12.457087;21;317.9612136;0.021009305;50;asphalt
130.843556;-12.457101;21;321.867827;0;50;asphalt
130.843618;-12.457114;21;328.7530638;0;50;asphalt
130.843666;-12.457118;21;333.9837123;0;50;asphalt
130.843754;-12.457103;20.75;343.68299;-0.025775115;50;asphalt
130.844161;-12.456694;18;407.0955612;-0.043366795;50;asphalt
130.844476;-12.456377;15.25;456.2101857;-0.05599147;50;asphalt
130.844803;-12.456034;12;508.3181893;-0.062370457;50;asphalt
130.84486;-12.45597;11.25;517.7493622;-0.079523513;50;asphalt
130.845004;-12.455805;9.75;541.8549109;-0.062226337;50;asphalt
130.8452;-12.455561;9.5;576.3369795;-0.007250145;50;asphalt
130.845602;-12.455018;9;650.8405509;-0.006711088;50;asphalt
130.846114;-12.454175;10.5;759.8229505;0.01376369;50;asphalt
130.846497;-12.453591;9;836.9350987;-0.019452188;50;asphalt
130.846642;-12.4534;8.75;863.3724435;-0.00945632;50;asphalt
130.846822;-12.453205;8.5;892.563673;-0.008564216;60;asphalt
130.84694;-12.453087;8.5;910.9025872;0;60;asphalt
130.847071;-12.452956;8.5;931.261895;0;60;asphalt
130.84724;-12.45276;9;959.7523176;0.017549757;60;asphalt
130.847257;-12.452742;9;962.475032;0;60;asphalt
130.847322;-12.45264;9.25;975.8334957;0.018714727;60;asphalt
130.847463;-12.452404;10.75;1006.214876;0.049372345;60;asphalt
130.847638;-12.452108;12.5;1044.219658;0.046046837;60;asphalt
130.84793;-12.451504;13.5;1118.488886;0.013464527;60;asphalt
130.848141;-12.450893;14;1190.187842;0.006973602;60;asphalt
130.848358;-12.450118;7.75;1279.526955;-0.069958161;80;asphalt
130.848589;-12.44933;8;1370.667812;0.002743007;80;asphalt
130.848987;-12.447817;9;1544.367419;0.005757065;80;asphalt
130.84909;-12.446985;11.25;1637.555156;0.024144808;80;asphalt
130.849094;-12.44696;11.25;1640.368754;0;80;asphalt
130.849117;-12.446814;11.75;1656.79418;0.030440612;80;asphalt
130.84916;-12.44628;11.5;1716.355561;-0.004197351;80;asphalt
130.849169;-12.446015;11;1745.838421;-0.016959006;80;asphalt
130.849175;-12.445465;11.75;1806.999108;0.012262779;80;asphalt
130.849146;-12.445075;13;1850.479307;0.028748718;80;asphalt
130.849113;-12.444594;12.75;1904.083968;-0.004663774;80;asphalt
130.848955;-12.442893;15;2094.003034;0.011847152;80;asphalt
130.848951;-12.442389;15.75;2150.046967;0.013382358;80;asphalt
130.849045;-12.44155;9.25;2243.896211;-0.069260015;80;asphalt
130.849085;-12.441277;7.75;2274.561577;-0.048915117;80;asphalt
130.849184;-12.440798;5.75;2328.897928;-0.036807772;80;asphalt
130.849333;-12.440212;5.25;2396.03672;-0.007447259;80;asphalt
130.849423;-12.439908;5.25;2431.224274;0;80;asphalt
130.849799;-12.438994;7.5;2540.750561;0.020543014;80;asphalt
130.850052;-12.438536;9;2598.615031;0.025922643;80;asphalt
130.850064;-12.438517;9.25;2601.097243;0.100716616;80;asphalt
130.850107;-12.438445;9.25;2610.365339;0;80;asphalt
130.850156;-12.438366;9.5;2620.635448;0.024342485;80;asphalt
130.850285;-12.43817;10;2646.542914;0.019299457;80;asphalt
130.850539;-12.437807;11.5;2695.429769;0.030683095;80;asphalt
130.850949;-12.437315;15;2765.963341;0.04962176;80;asphalt
130.851294;-12.436945;19.25;2821.605739;0.076380605;80;asphalt
130.851472;-12.436772;22;2848.875366;0.100844798;80;asphalt
130.851769;-12.436505;24.5;2892.710279;0.057032166;80;asphalt
130.852067;-12.436267;24.5;2934.512692;0;80;asphalt
130.852392;-12.436032;24.5;2978.424348;0;80;asphalt
130.852777;-12.435777;24.25;3028.938699;-0.004949089;80;asphalt
130.853017;-12.435632;24;3059.583733;-0.008157929;80;asphalt
