Year,Month,Day,Sunrise,Sunset,Daylength Length,Daylength Diff.,Astronomical Twilight Start,Astronomical Twilight End,Nautical Twilight Start,Nautical Twilight End,Civil Twilight Start,Civil Twilight End,Solar Noon Time,Solar Noon Mil. km
2020,10,01,05:52,18:18,12:26:32,+2:10,04:26,19:44,04:57,19:13,05:26,18:44,12:05,149.766
2020,10,02,05:50,18:19,12:28:43,+2:10,04:25,19:45,04:55,19:14,05:25,18:44,12:04,149.723
2020,10,03,05:49,18:20,12:30:54,+2:10,04:23,19:46,04:54,19:15,05:24,18:45,12:04,149.68
2020,10,04,06:48,19:21,12:33:05,+2:10,05:22,20:47,05:52,20:16,06:22,19:46,13:04,149.638
2020,10,05,06:46,19:21,12:35:15,+2:10,05:20,20:48,05:51,20:17,06:21,19:47,13:03,149.595
2020,10,06,06:45,19:22,12:37:26,+2:10,05:19,20:49,05:49,20:18,06:19,19:48,13:03,149.553
2020,10,07,06:43,19:23,12:39:36,+2:10,05:17,20:50,05:48,20:19,06:18,19:49,13:03,149.51
2020,10,08,06:42,19:24,12:41:46,+2:10,05:15,20:51,05:46,20:20,06:16,19:49,13:03,149.468
2020,10,09,06:41,19:25,12:43:56,+2:10,05:14,20:52,05:45,20:21,06:15,19:50,13:02,149.426
2020,10,10,06:39,19:25,12:46:06,+2:09,05:12,20:53,05:43,20:21,06:14,19:51,13:02,149.384
2020,10,11,06:38,19:26,12:48:16,+2:09,05:11,20:54,05:42,20:22,06:12,19:52,13:02,149.342
2020,10,12,06:37,19:27,12:50:26,+2:09,05:09,20:55,05:41,20:23,06:11,19:53,13:02,149.3
2020,10,13,06:35,19:28,12:52:35,+2:09,05:08,20:56,05:39,20:24,06:10,19:54,13:01,149.259
2020,10,14,06:34,19:29,12:54:44,+2:08,05:06,20:57,05:38,20:25,06:08,19:55,13:01,149.217
2020,10,15,06:33,19:30,12:56:52,+2:08,05:05,20:58,05:36,20:26,06:07,19:55,13:01,149.175
2020,10,16,06:31,19:30,12:59:01,+2:08,05:03,20:59,05:35,20:27,06:06,19:56,13:01,149.132
2020,10,17,06:30,19:31,13:01:08,+2:07,05:02,21:00,05:33,20:28,06:04,19:57,13:00,149.09
2020,10,18,06:29,19:32,13:03:16,+2:07,05:00,21:01,05:32,20:29,06:03,19:58,13:00,149.048
2020,10,19,06:28,19:33,13:05:23,+2:07,04:59,21:02,05:31,20:30,06:02,19:59,13:00,149.005
2020,10,20,06:26,19:34,13:07:30,+2:06,04:57,21:03,05:29,20:31,06:00,20:00,13:00,148.963
2020,10,21,06:25,19:35,13:09:36,+2:06,04:56,21:05,05:28,20:32,05:59,20:01,13:00,148.92
2020,10,22,06:24,19:36,13:11:41,+2:05,04:54,21:06,05:27,20:33,05:58,20:02,13:00,148.878
2020,10,23,06:23,19:37,13:13:46,+2:04,04:53,21:07,05:25,20:34,05:57,20:03,12:59,148.836
2020,10,24,06:22,19:37,13:15:50,+2:04,04:51,21:08,05:24,20:35,05:55,20:04,12:59,148.794
2020,10,25,06:20,19:38,13:17:54,+2:03,04:50,21:09,05:23,20:36,05:54,20:05,12:59,148.752
2020,10,26,06:19,19:39,13:19:57,+2:02,04:48,21:11,05:21,20:38,05:53,20:06,12:59,148.71
2020,10,27,06:18,19:40,13:21:59,+2:02,04:47,21:12,05:20,20:39,05:52,20:07,12:59,148.669
2020,10,28,06:17,19:41,13:24:01,+2:01,04:46,21:13,05:19,20:40,05:51,20:08,12:59,148.629
2020,10,29,06:16,19:42,13:26:02,+2:00,04:44,21:14,05:18,20:41,05:49,20:09,12:59,148.588
2020,10,30,06:15,19:43,13:28:02,+1:59,04:43,21:16,05:16,20:42,05:48,20:10,12:59,148.548
2020,10,31,06:14,19:44,13:30:01,+1:58,04:41,21:17,05:15,20:43,05:47,20:11,12:59,148.509
